Title,Artist,Year,Entities,Entity Lines
Shotta Flow,NLE Choppa,2019.,"[set(), {'philly', 'mexico'}]","{'brands': {}, 'locations': {'mexico': 'Baby Mexico Shotta, you heard me?', 'philly': 'Bet, love all the beef like a Southwest Philly'}}"
I Think I'm OKAY,mgk,2019.,"[set(), {'california'}]","{'brands': {}, 'locations': {'california': 'But I cannot hide in hills of California'}}"
Love Is Gone,SLANDER,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Liar,Camila Cabello,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
223's,YNW Melly,2019.,"[{'glocks', 'google'}, set()]","{'brands': {'glocks': ""Two guns, that's the twin Glocks, I roger that"", 'google': 'Like apostrophe, Google forgot a comma in the back'}, 'locations': {}}"
lonely,Lauv,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
FANCY,TWICE,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Sanguine Paradise,Lil Uzi Vert,2019.,"[set(), {'montana'}]","{'brands': {}, 'locations': {'montana': 'Mykko Montana, this beat is from K Camp'}}"
ARE WE STILL FRIENDS?,"Tyler, The Creator",2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Pluto Projector,Rex Orange County,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Baila Baila Baila,Ozuna,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Psycho,Red Velvet,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Deutschland,Rammstein,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
xanny,Billie Eilish,2019.,"[{'coke', 'xanny', 'uber'}, set()]","{'brands': {'coke': 'Still just drinking canned Coke', 'xanny': ""Don't give me a Xanny, now or ever"", 'uber': 'Can you check your Uber rating? Oh my god'}, 'locations': {}}"
Cover Me Up,Morgan Wallen,2019.,"[set(), {'richmond'}]","{'brands': {}, 'locations': {'richmond': 'In Richmond on high'}}"
lowkey,NIKI,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
The Bones,Maren Morris,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
One Man Band,Old Dominion,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Saint-Tropez,Post Malone,2019.,"[{'versace', 'bud light'}, {'saint-tropez'}]","{'brands': {'versace': 'Versace boxers on my dick (On my dick, damn)', 'bud light': ""Bud Light runnin' through my piss (Ooh)""}, 'locations': {'saint-tropez': ""I'm in Saint-Tropez, I had to check wrist47Embed""}}"
Quizas,Rich Music LTD,2019.,"[{'jordan'}, set()]","{'brands': {'jordan': ""Hoy saqué a pasear la' Jordan y la Merce (-ce)""}, 'locations': {}}"
HONEST,Baby Keem,2019.,"[{'toyota'}, {'toyota'}]","{'brands': {'toyota': ""I whip that red Toyota like it's stolen""}, 'locations': {'toyota': ""I whip that red Toyota like it's stolen""}}"
Playing Games,Summer Walker,2019.,"[set(), {'london', 'paris'}]","{'brands': {}, 'locations': {'paris': 'Shopping\u2005in\u2005Paris or go', 'london': '(We got London on the track)14Embed'}}"
In My Room,Frank Ocean,2019.,"[{'richard mille'}, set()]","{'brands': {'richard mille': 'Richard Mille, look at my ears, flooded with diamonds'}, 'locations': {}}"
To the Bone,Pamungkas,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
