Artist,Title,Streams,Daily
Maluma,Mojando Asientos,"231,511,240","126,481"
WOS,ARRANCÁRMELO,"230,586,832","144,493"
Junior H,Vamos Para Arriba,"230,571,773","154,097"
CKay,emiliana,"229,784,266","118,334"
TREASURE,DARARI,"229,160,826","98,519"
Mother Mother,Hayloft II,"228,968,694","258,447"
Bryan Martin,We Ride,"228,885,689","555,473"
Mau y Ricky,Llorar y Llorar,"228,522,097","153,666"
Jack Harlow,Nail Tech,"227,781,704","67,252"
ROSALÍA,BIZCOCHITO,"226,896,970","72,674"
MC MENOR HR,Evoque Prata,"226,640,647","46,056"
Tiësto,Hot In It,"226,421,274","140,472"
Calvin Harris,Potion,"225,850,957","69,645"
Bellakath,Gatita,"224,341,143","111,975"
Vishal-Shekhar,"Besharam Rang (From ""Pathaan"")","224,136,459","115,275"
L7NNON,Ai Preto,"223,352,162","66,796"
AP Dhillon,Summer High,"222,370,154","151,865"
Stephanie Beatriz,The Family Madrigal,"222,231,957","82,873"
HARDY,TRUCK BED,"219,929,306","556,511"
SZA,Awkward,"219,541,863","208,993"
KÖFN,Bi' Tek Ben Anlarım,"219,359,745","96,562"
Victor Cibrian,En El Radio Un Cochinero,"219,334,039","66,786"
SEVENTEEN,HOT,"218,722,644","159,611"
Kendrick Lamar,Count Me Out,"217,344,081","278,831"
Sharn,Mi Amor,"216,842,586","167,805"
BLACKPINK,Hard to Love,"216,375,506","135,474"
Henrique & Juliano,Vidinha De Balada,"216,271,897","159,080"
Yohani,"Manike (From ""Thank God"")","216,116,622","101,706"
Zach Bryan,From Austin,"214,585,647","392,726"
Luke Combs,"Going, Going, Gone","214,413,137","299,708"
Los Gemelos De Sinaloa,Andamos Mejor,"213,794,036","103,639"
Tate McRae,feel like shit,"213,602,877","93,337"
Sabrina Carpenter,because i liked a boy,"213,252,508","709,569"
Felipe Amorim,No Ouvidinho,"212,315,565","56,946"
Jorge & Mateus,5 Regras,"211,406,969","51,659"
Duki,Si Quieren Frontear,"211,202,346","68,905"
Ana Castela,DONA DE MIM,"210,532,000","293,763"
Alec Benjamin,Devil Doesn’t Bargain,"210,248,491","118,307"
Maria Becerra,AUTOMÁTICO,"209,839,301","102,108"
Guilherme & Benuto,Assunto Delicado,"209,727,518","56,792"
Ado,新時代,"209,147,176","143,729"
PinkPantheress,Boy's a Liar,"208,486,772","124,353"
La Santa Grifa,Tocame,"208,286,793","243,870"
Luciano,Bamba,"208,006,834","117,476"
Nate Smith,Whiskey On You,"207,918,582","283,026"
DJ Khaled,STAYING ALIVE,"207,264,856","52,752"
Bailey Zimmerman,Where It Ends,"206,956,096","545,036"
Drake,Circo Loco,"206,891,862","95,281"
KK,"Ajab Si (From ""Om Shanti Om"")","206,117,696","236,990"
Noah Kahan,All My Love,"205,849,499","493,819"
Henrique & Juliano,De Trás Pra Frente,"204,713,959","491,852"
Vishal-Shekhar,Jhoome Jo Pathaan,"204,422,312","74,268"
keshi,UNDERSTAND,"204,342,871","337,967"
Tyler Hubbard,5 Foot 9,"203,664,403","191,830"
Drake,Major Distribution,"203,240,026","63,932"
Anirudh Ravichander,Arabic Kuthu,"203,227,747","97,519"
Stray Kids,CASE 143,"202,910,972","120,410"
Ivan Cornejo,La Curiosidad,"202,323,265","194,583"
Conan Gray,Family Line,"201,773,546","177,626"
Jaziel Avilez,Ando Enfocado,"201,218,205","195,875"
natori,Overdose,"199,642,726","159,148"
Lumi Athena,SMOKE IT OFF!,"199,269,602","264,292"
Gusttavo Lima,Termina Comigo Antes,"199,097,761","64,777"
Kygo,Dancing Feet,"199,024,770","78,330"
Jorge & Mateus,Todo Seu,"198,795,485","32,593"
Luan Santana,ABALO EMOCIONAL,"198,665,729","56,730"
Superstar Pride,PAINTING PICTURES,"197,405,105","83,057"
Zé Felipe,Roça Em Mim,"197,334,193","73,618"
Luciano,Beautiful Girl,"195,460,913","76,542"
ROSALÍA,SAOKO,"194,739,585","62,446"
SZA,Love Language,"194,517,251","126,975"
SZA,Ghost in the Machine,"193,653,180","128,064"
David Kushner,Miserable Man,"193,642,310","99,426"
ONIMXRU,SHADOW,"193,261,047","85,686"
Maiara & Maraisa,A Culpa É Nossa,"193,128,837","82,138"
Ghostface Playa,Why Not,"192,949,537","96,833"
Isolate.exe,Crystals,"192,743,149","111,744"
Morat,Salir Con Vida,"192,650,866","182,022"
NewJeans,Hurt,"191,821,953","213,164"
Mari Fernandez,Comunicação Falhou,"191,813,791","67,882"
Batas Senja,Nanti Kita Seperti Ini,"191,745,757","225,320"
southstar,Miss You,"191,473,135","69,552"
Cian Ducrot,I'll Be Waiting,"191,158,597","115,777"
Matheus & Kauan,Gatilho,"191,064,498","57,392"
MC Tairon,Baile no Morro,"190,410,739","76,319"
The Weeknd,Take My Breath,"190,219,917","105,781"
Rei,Tu Turrito,"190,213,287","43,949"
Luude,Big City Life,"189,868,892","179,392"
Pablito Pesadilla,BABY OTAKU,"189,580,113","37,678"
Aruma,Muak,"189,426,540","130,945"
Taylor Swift,Bigger Than The Whole Sky,"189,155,374","110,016"
Charlie Puth,That's Hilarious,"189,061,751","66,537"
Taylor Swift,Paris,"189,029,905","115,262"
Corey Kent,Wild as Her,"188,627,798","170,423"
Bizarrap,"Paulo Londra: Bzrp Music Sessions, Vol. 23","188,351,523","55,721"
Omah Lay,soso,"188,115,523","460,371"
Ed Sheeran,The Joker And The Queen,"186,865,373","74,059"
Nessa Barrett,die first,"186,862,556","133,423"
Leo Santana,Zona De Perigo,"186,706,617","64,307"
NIKI,Take A Chance With Me,"186,476,383","345,237"
Denise Julia,NVMD,"186,326,790","184,997"
Morat,París,"186,018,376","90,942"
Daddy Yankee,RUMBATÓN,"185,196,504","45,237"
Billie Eilish,The 30th,"184,649,136","144,461"
Avvy Sra,White Brown Black,"184,007,573","249,296"
New West,Those Eyes,"183,747,178","172,388"
GIMS,SEYA,"183,208,244","392,925"
Awdella,Tertawan Hati,"183,075,364","459,691"
MC Xenon,Sem Aliança no Dedo,"182,815,233","70,368"
Purple Disco Machine,In The Dark,"182,644,614","94,504"
BM,M.A (Mejores Amigos),"182,476,894","67,185"
Jack Harlow,Dua Lipa,"182,321,318","60,213"
INTERWORLD,METAMORPHOSIS,"181,839,293","73,887"
Grupo Marca Registrada,Solo Me Dejaste,"181,780,161","124,471"
Suara Kayu,Kembali Pulang,"181,004,249","388,258"
j-hope,Arson,"180,864,234","70,076"
Vishal-Shekhar,"Khuda Jaane (From ""Bachna Ae Haseeno"")","180,783,437","219,567"
Mau P,Drugs From Amsterdam,"180,726,201","188,239"
Disco Lines,Baby Girl,"180,236,348","93,169"
Fabio Asher,Bertahan Terluka,"179,900,641","150,918"
Maria Becerra,ADIÓS,"179,872,272","151,638"
Kendrick Lamar,Father Time,"179,573,934","122,135"
SCXR SOUL,DEMONS IN MY SOUL,"179,152,929","156,048"
Morat,Debí Suponerlo,"178,469,374","195,762"
Orochi,Sereia,"178,360,328","77,665"
Teto,Fim de Semana no Rio,"178,360,167","91,692"
DJ Jeeh FDC,Puta Mexicana,"177,963,026","103,328"
Tyga,Freaky Deaky,"177,783,030","49,547"
Maluma,Nos Comemos Vivos,"177,720,887","64,443"
La Maquinaria Norteña,Eres Ese Algo,"177,462,661","144,232"
Topic,Kernkraft 400 (A Better Day),"177,409,171","94,202"
Mert Demir,Antidepresan,"176,910,182","84,256"
LE SSERAFIM,Sour Grapes,"176,853,715","151,145"
Tom Santa,Rainfall (Praise You),"176,771,585","233,123"
Pharrell Williams,Cash In Cash Out,"176,557,588","67,604"
Dylan Conrique,birthday cake,"176,430,956","76,627"
Tiago PZK,Traductor,"176,143,241","63,421"
Stephen Dawes,Teenage Dream,"175,913,290","108,524"
João Gomes,Dengo,"175,819,748","114,607"
KUTE,AVOID ME,"175,499,777","89,529"
Lil Baby,In A Minute,"175,326,634","77,432"
Kep1er,WA DA DA,"175,161,409","47,070"
Fuerza Regida,Mi Terre CLN,"175,068,469","163,361"
Beyoncé,ENERGY,"174,842,857","88,473"
JHAYCO,En La De Ella,"174,781,191","55,564"
Gunna,Banking On Me,"174,615,065","66,530"
Mc Tato,Luz do Luar,"174,464,810","63,453"
Luan Santana,ERRO PLANEJADO,"174,107,270","39,523"
Chefin,212,"173,343,647","38,525"
salem ilese,PS5,"173,308,548","101,216"
Drake,Privileged Rappers,"172,838,458","86,591"
Maria Becerra,OJALÁ,"172,777,769","75,079"
